date,value
2021-08-18,73900
2021-08-19,73100
2021-08-20,72700
2021-08-23,73300
2021-08-24,75600
2021-08-25,75700
2021-08-26,74600
2021-08-27,74300
2021-08-30,74600
2021-08-31,76700
2021-09-01,76800
2021-09-02,76000
2021-09-03,76600
2021-09-06,77300
2021-09-07,76100
2021-09-08,76300
2021-09-09,75300
2021-09-10,75300
2021-09-13,76300
2021-09-14,76600
2021-09-15,77000
2021-09-16,76100
2021-09-17,77200
2021-09-23,77400
2021-09-24,77300
2021-09-27,77700
2021-09-28,76300
2021-09-29,74100
2021-09-30,74100
2021-10-01,73200
2021-10-05,72200
2021-10-06,71300
2021-10-07,71600
2021-10-08,71500
2021-10-12,69000
2021-10-13,68800
2021-10-14,69400
2021-10-15,70100
2021-10-18,70200
2021-10-19,70600
2021-10-20,70300
2021-10-21,70200
2021-10-22,70400
2021-10-25,70200
2021-10-26,71100
2021-10-27,70100
2021-10-28,70700
2021-10-29,69800
2021-11-01,69900
2021-11-02,71500
2021-11-03,70400
2021-11-04,70600
2021-11-05,70200
2021-11-08,70600
2021-11-09,70500
2021-11-10,70200
2021-11-11,69900
2021-11-12,70600
2021-11-15,71400
2021-11-16,71300
2021-11-17,70700
2021-11-18,70200
2021-11-19,71200
2021-11-22,74900
2021-11-23,75300
2021-11-24,74800
2021-11-25,73700
2021-11-26,72300
2021-11-29,72300
2021-11-30,71300
2021-12-01,74400
2021-12-02,75800
2021-12-03,75600
2021-12-06,76300
2021-12-07,77400
2021-12-08,77400
2021-12-09,78200
2021-12-10,76900
2021-12-13,76800
2021-12-14,77000
2021-12-15,77600
2021-12-16,77800
2021-12-17,78000
2021-12-20,77100
2021-12-21,78100
2021-12-22,79400
2021-12-23,79900
2021-12-24,80500
2021-12-27,80200
2021-12-28,80300
2021-12-29,78800
2021-12-30,78300
2022-01-04,78700
2022-01-05,77400
2022-01-06,76900
2022-01-07,78300
2022-01-10,78000
2022-01-11,78900
2022-01-12,78900
2022-01-13,77900
2022-01-14,77300
2022-01-17,77500
2022-01-18,77000
2022-01-19,76300
2022-01-20,76500
2022-01-21,75600
2022-01-24,75100
2022-01-25,74000
2022-01-26,74000
2022-01-27,71300
2022-01-28,73300
2022-02-03,73300
2022-02-04,74000
2022-02-07,73000
2022-02-08,73000
2022-02-09,73000
2022-02-10,75400
2022-02-11,74900
2022-02-14,73700
2022-02-15,73700
2022-02-16,74800
2022-02-17,75000
2022-02-18,74300
2022-02-21,74300
2022-02-22,74300
2022-02-23,74300
2022-02-24,71500
2022-02-25,71900
2022-02-28,71900
2022-03-02,71700
2022-03-03,72900
2022-03-04,72900
2022-03-07,70100
2022-03-08,69500
2022-03-10,69500
2022-03-11,70000
2022-03-14,70200
2022-03-15,70200
2022-03-16,70400
2022-03-17,70400
2022-03-18,70700
2022-03-21,69900
2022-03-22,70300
2022-03-23,70500
2022-03-24,69800
2022-03-25,69800
2022-03-28,69700
2022-03-29,70200
2022-03-30,69900
2022-03-31,69600
2022-04-01,69100
2022-04-04,69300
2022-04-05,69200
2022-04-06,68500
2022-04-07,68000
2022-04-08,67800
2022-04-11,67900
2022-04-12,67000
2022-04-13,68700
2022-04-14,67500
2022-04-15,66600
2022-04-18,66700
2022-04-19,67300
2022-04-20,67400
2022-04-21,67700
2022-04-22,67000
2022-04-25,66300
2022-04-26,66100
2022-04-27,65000
2022-04-28,64800
2022-04-29,67400
2022-05-02,67300
2022-05-03,67500
2022-05-04,67900
2022-05-06,66500
2022-05-10,65700
2022-05-11,65700
2022-05-12,64900
2022-05-13,66500
2022-05-16,66300
2022-05-17,67600
2022-05-18,68100
2022-05-19,67500
2022-05-20,68000
2022-05-23,67900
2022-05-24,66500
2022-05-25,66400
2022-05-26,65900
2022-05-27,66500
2022-05-30,67700
2022-05-31,67400
2022-06-02,66700
2022-06-03,66800
2022-06-07,65500
2022-06-08,65300
2022-06-09,65200
2022-06-10,63800
2022-06-13,62100
2022-06-14,61900
2022-06-15,60700
2022-06-16,60900
2022-06-17,59800
2022-06-20,58700
2022-06-21,58500
2022-06-22,57600
2022-06-23,57400
2022-06-24,58400
2022-06-27,58800
2022-06-28,59400
2022-06-29,58000
2022-06-30,57000
2022-07-01,56200
2022-07-04,57100
2022-07-05,57200
2022-07-06,56400
2022-07-07,58200
2022-07-08,58700
2022-07-11,58800
2022-07-12,58100
2022-07-13,58000
2022-07-14,57500
2022-07-15,60000
2022-07-18,61900
2022-07-19,60900
2022-07-20,60500
2022-07-21,61800
2022-07-22,61300
2022-07-25,61100
2022-07-26,61700
2022-07-27,61800
2022-07-28,61900
2022-07-29,61400
2022-08-01,61300
2022-08-02,61700
2022-08-03,61300
2022-08-04,61500
2022-08-05,61500
2022-08-08,60800
2022-08-09,60000
2022-08-10,59100
2022-08-11,59900
2022-08-12,60200
2022-08-16,61000
2022-08-17,60400
2022-08-18,61500
2022-08-19,60900
2022-08-22,60000
2022-08-23,59100
2022-08-24,59000
2022-08-25,59700
2022-08-26,60000
2022-08-29,58600
2022-08-30,58800
2022-08-31,59700
2022-09-01,58400
2022-09-02,57500
2022-09-05,57100
2022-09-06,57100
2022-09-07,56000
2022-09-08,55600
2022-09-13,58100
2022-09-14,56800
2022-09-15,56000
2022-09-16,56200
2022-09-19,56400
2022-09-20,55800
2022-09-21,55300
2022-09-22,54400
2022-09-23,54500
2022-09-26,53900
2022-09-27,54200
2022-09-28,52900
2022-09-29,52600
2022-09-30,53100
2022-10-04,55200
2022-10-05,56000
2022-10-06,56300
2022-10-07,56200
2022-10-11,55400
2022-10-12,55800
2022-10-13,55200
2022-10-14,56300
2022-10-17,56600
2022-10-18,56500
2022-10-19,55800
2022-10-20,55500
2022-10-21,55900
2022-10-24,57500
2022-10-25,57700
2022-10-26,59400
2022-10-27,59500
2022-10-28,57300
2022-10-31,59400
2022-11-01,60000
2022-11-02,59600
2022-11-03,59200
2022-11-04,59400
2022-11-07,60200
2022-11-08,61800
2022-11-09,62000
2022-11-10,60400
2022-11-11,62900
2022-11-14,61900
2022-11-15,62400
2022-11-16,62700
2022-11-17,61400
2022-11-18,61800
2022-11-21,61400
2022-11-22,60600
2022-11-23,61000
2022-11-24,61400
2022-11-25,61000
2022-11-28,60100
2022-11-29,60600
2022-11-30,62200
2022-12-01,62600
2022-12-02,60400
2022-12-05,60300
2022-12-06,59200
2022-12-07,58900
2022-12-08,59200
2022-12-09,60400
2022-12-12,59500
2022-12-13,59700
2022-12-14,60500
2022-12-15,59300
2022-12-16,59500
2022-12-19,59500
2022-12-20,58600
2022-12-21,58000
2022-12-22,59100
2022-12-23,58100
2022-12-26,57900
2022-12-27,58100
2022-12-28,56600
2022-12-29,55300
2023-01-02,55500
2023-01-03,55400
2023-01-04,57800
2023-01-05,58200
2023-01-06,59000
2023-01-09,60700
2023-01-10,60400
2023-01-11,60500
2023-01-12,60500
2023-01-13,60800
2023-01-16,61100
2023-01-17,61000
2023-01-18,60400
2023-01-19,61500
2023-01-20,61800
2023-01-25,63300
2023-01-26,63800
2023-01-27,64600
2023-01-30,63300
2023-01-31,61400
2023-02-01,61000
2023-02-02,63500
2023-02-03,63500
2023-02-06,61600
2023-02-07,62000
2023-02-08,63100
2023-02-09,63300
2023-02-10,62900
2023-02-13,62900
2023-02-14,63200
2023-02-15,62200
2023-02-16,63700
2023-02-17,62600
2023-02-20,62700
2023-02-21,62100
2023-02-22,61100
2023-02-23,62000
2023-02-24,61300
2023-02-27,60500
2023-02-28,60600
2023-03-02,60800
2023-03-03,60500
2023-03-06,61500
2023-03-07,60700
2023-03-08,60300
2023-03-09,60100
2023-03-10,59500
2023-03-13,60000
2023-03-14,59000
2023-03-15,59800
2023-03-16,59900
2023-03-17,61300
2023-03-20,60200
2023-03-21,60300
2023-03-22,61100
2023-03-23,62300
2023-03-24,63000
2023-03-27,62100
2023-03-28,62900
2023-03-29,62700
2023-03-30,63200
2023-03-31,64000
2023-04-03,63100
2023-04-04,63600
2023-04-05,63900
2023-04-06,62300
2023-04-07,65000
2023-04-10,65700
2023-04-11,65900
2023-04-12,66000
2023-04-13,66100
2023-04-14,65100
2023-04-17,65300
2023-04-18,65600
2023-04-19,65500
2023-04-20,65300
2023-04-21,65700
2023-04-24,65200
2023-04-25,63600
2023-04-26,64100
2023-04-27,64600
2023-04-28,65500
2023-05-02,65700
2023-05-03,65400
2023-05-04,65100
2023-05-08,65900
2023-05-09,65300
2023-05-10,64600
2023-05-11,64200
2023-05-12,64100
2023-05-15,64500
2023-05-16,65400
2023-05-17,65000
2023-05-18,66200
2023-05-19,68400
2023-05-22,68500
2023-05-23,68400
2023-05-24,68500
2023-05-25,68800
2023-05-26,70300
2023-05-30,72300
2023-05-31,71400
2023-06-01,70900
2023-06-02,72200
2023-06-05,71700
2023-06-07,71000
2023-06-08,70900
2023-06-09,72000
2023-06-12,71000
2023-06-13,72000
2023-06-14,71900
2023-06-15,71500
2023-06-16,71800
2023-06-19,71200
2023-06-20,71400
2023-06-21,70500
2023-06-22,71300
2023-06-23,71600
2023-06-26,72400
2023-06-27,72600
2023-06-28,72700
2023-06-29,72400
2023-06-30,72200
2023-07-03,73000
2023-07-04,73000
2023-07-05,72000
2023-07-06,71600
2023-07-07,69900
2023-07-10,69500
2023-07-11,71500
2023-07-12,71900
2023-07-13,71900
2023-07-14,73400
2023-07-17,73300
2023-07-18,72000
2023-07-19,71700
2023-07-20,71000
2023-07-21,70300
2023-07-24,70400
2023-07-25,70000
2023-07-26,69800
2023-07-27,71700
2023-07-28,70600
2023-07-31,69800
2023-08-01,71100
2023-08-02,69900
2023-08-03,68800
2023-08-04,68300
2023-08-07,68500
2023-08-08,67600
2023-08-09,68900
2023-08-10,68000
2023-08-11,67500
2023-08-14,67300
2023-08-16,67000
2023-08-17,66700
2023-08-18,66300
2023-08-21,66600
2023-08-22,66600
2023-08-23,67100
2023-08-24,68200
2023-08-25,67100
2023-08-28,66800
2023-08-29,66800
2023-08-30,67100
2023-08-31,66900
2023-09-01,71000
2023-09-04,71200
2023-09-05,70700
2023-09-06,70000
2023-09-07,70400
2023-09-08,70300
2023-09-11,70800
2023-09-12,70500
2023-09-13,70900
2023-09-14,71700
2023-09-15,72000
2023-09-18,70200
2023-09-19,69800
2023-09-20,69600
2023-09-21,68900
2023-09-22,68800
2023-09-25,69400
2023-09-26,68600
2023-09-27,68400
2023-10-04,67500
2023-10-05,66700
2023-10-06,66000
2023-10-10,66400
2023-10-11,68200
2023-10-12,68900
2023-10-13,68000
2023-10-16,67300
2023-10-17,69400
2023-10-18,70500
2023-10-19,69500
2023-10-20,68800
2023-10-23,68400
2023-10-24,68500
2023-10-25,68000
2023-10-26,66700
2023-10-27,67300
2023-10-30,67300
2023-10-31,66900
2023-11-01,68600
2023-11-02,69700
2023-11-03,69600
2023-11-06,70900
2023-11-07,70900
2023-11-08,69900
2023-11-09,70300
2023-11-10,70500
2023-11-13,70400
2023-11-14,70800
2023-11-15,72200
2023-11-16,72800
2023-11-17,72500
2023-11-20,72700
2023-11-21,72800
2023-11-22,72800
2023-11-23,72400
2023-11-24,71700
2023-11-27,71300
2023-11-28,72700
2023-11-29,72700
2023-11-30,72800
2023-12-01,72000
2023-12-04,72600
2023-12-05,71200
2023-12-06,71700
2023-12-07,71500
2023-12-08,72600
2023-12-11,73000
2023-12-12,73500
2023-12-13,72800
2023-12-14,73100
2023-12-15,73300
2023-12-18,72900
2023-12-19,73400
2023-12-20,74800
2023-12-21,75000
2023-12-22,75900
2023-12-26,76600
2023-12-27,78000
2023-12-28,78500
2024-01-02,79600
2024-01-03,77000
2024-01-04,76600
2024-01-05,76600
2024-01-08,76500
2024-01-09,74700
2024-01-10,73600
2024-01-11,73200
2024-01-12,73100
2024-01-15,73900
2024-01-16,72600
2024-01-17,71000
2024-01-18,71700
2024-01-19,74700
2024-01-22,75100
2024-01-23,75200
2024-01-24,74000
2024-01-25,74100
2024-01-26,73400
2024-01-29,74400
2024-01-30,74300
2024-01-31,72700
2024-02-01,73600
2024-02-02,75200
2024-02-05,74300
2024-02-06,74400
2024-02-07,75000
2024-02-08,74100
2024-02-13,75200
2024-02-14,74000
2024-02-15,73200
2024-02-16,72800
2024-02-19,73800
2024-02-20,73300
2024-02-21,73000
2024-02-22,73100
2024-02-23,72900
2024-02-26,72800
2024-02-27,72900
2024-02-28,73200
2024-02-29,73400
2024-03-04,74900
2024-03-05,73700
2024-03-06,72900
2024-03-07,72200
2024-03-08,73300
2024-03-11,72400
2024-03-12,73300
2024-03-13,74100
2024-03-14,74300
2024-03-15,72300
2024-03-18,72800
2024-03-19,72800
2024-03-20,76900
2024-03-21,79300
2024-03-22,78900
2024-03-25,78200
2024-03-26,79900
2024-03-27,79800
2024-03-28,80800
2024-03-29,82400
2024-04-01,82000
2024-04-02,85000
2024-04-03,84100
2024-04-04,85300
2024-04-05,84500
2024-04-08,84500
2024-04-09,83600
2024-04-11,84100
2024-04-12,83700
2024-04-15,82200
2024-04-16,80000
2024-04-17,78900
2024-04-18,79600
2024-04-19,77600
2024-04-22,76100
2024-04-23,75500
2024-04-24,78600
2024-04-25,76300
2024-04-26,76700
2024-04-29,76700
2024-04-30,77500
2024-05-02,78000
2024-05-03,77600
2024-05-07,81300
2024-05-08,81300
2024-05-09,79700
2024-05-10,79200
2024-05-13,78400
2024-05-14,78300
2024-05-16,78200
2024-05-17,77400
2024-05-20,78900
2024-05-21,78400
2024-05-22,77700
2024-05-23,78300
2024-05-24,75900
2024-05-27,77200
2024-05-28,77600
2024-05-29,75200
2024-05-30,73500
2024-05-31,73500
2024-06-03,75700
2024-06-04,75300
2024-06-05,77400
2024-06-07,77300
2024-06-10,75700
2024-06-11,75200
2024-06-12,76500
2024-06-13,78600
2024-06-14,79600
2024-06-17,78100
2024-06-18,79800
2024-06-19,81200
2024-06-20,81600
2024-06-21,80000
2024-06-24,80600
2024-06-25,80800
2024-06-26,81300
2024-06-27,81600
2024-06-28,81500
2024-07-01,81800
2024-07-02,81800
2024-07-03,81800
2024-07-04,84600
2024-07-05,87100
2024-07-08,87400
2024-07-09,87800
2024-07-10,87800
2024-07-11,87600
2024-07-12,84400
2024-07-15,86700
2024-07-16,87700
2024-07-17,86700
2024-07-18,86900
2024-07-19,84400
2024-07-22,83000
2024-07-23,83900
2024-07-24,82000
2024-07-25,80400
2024-07-26,80900
2024-07-29,81200
2024-07-30,81000
2024-07-31,83900
2024-08-01,83100
2024-08-02,79600
2024-08-05,71400
2024-08-06,72500
2024-08-07,74700
2024-08-08,73400
2024-08-09,74700
2024-08-12,75500
2024-08-13,76100
2024-08-14,77200
2024-08-16,80200
2024-08-19,78300
2024-08-20,78900
2024-08-21,78300
2024-08-22,78300
2024-08-23,77700
2024-08-26,76100
2024-08-27,75800
2024-08-28,76400
2024-08-29,74000
2024-08-30,74300
2024-09-02,74400
2024-09-03,72500
2024-09-04,70000
2024-09-05,69000
2024-09-06,68900
2024-09-09,67500
2024-09-10,66200
2024-09-11,64900
2024-09-12,66300
2024-09-13,64400
2024-09-19,63100
2024-09-20,63000
2024-09-23,62600
2024-09-24,63200
2024-09-25,62200
2024-09-26,64700
2024-09-27,64200
2024-09-30,61500
2024-10-02,61300
2024-10-04,60600
2024-10-07,61000
2024-10-08,60300
2024-10-10,58900
2024-10-11,59300
2024-10-14,59300
2024-10-15,61000
2024-10-16,59500
2024-10-17,59700
2024-10-18,59200
2024-10-21,59000
2024-10-22,57700
2024-10-23,59100
2024-10-24,56600
2024-10-25,55900
2024-10-28,58100
2024-10-29,59600
2024-10-30,59100
2024-10-31,59200
2024-11-01,58300
2024-11-04,58700
2024-11-05,57600
2024-11-06,57300
2024-11-07,57300
2024-11-08,57000
2024-11-11,55000
2024-11-12,53000
2024-11-13,50600
2024-11-14,49900
2024-11-15,53500
2024-11-18,56700
2024-11-19,56300
2024-11-20,55300
2024-11-21,56400
2024-11-22,56000
2024-11-25,57900
2024-11-26,58300
2024-11-27,56300
2024-11-28,55500
2024-11-29,54200
2024-12-02,53600
2024-12-03,53600
2024-12-04,53100
2024-12-05,53700
2024-12-06,54100
2024-12-09,53400
2024-12-10,54000
2024-12-11,54000
2024-12-12,55900
2024-12-13,56100
2024-12-16,55600
2024-12-17,54200
2024-12-18,54900
2024-12-19,53100
2024-12-20,53000
2024-12-23,53500
2024-12-24,54400
2024-12-26,53600
2024-12-27,53700
2024-12-30,53200
2025-01-02,53400
2025-01-03,54400
2025-01-06,55900
2025-01-07,55400
2025-01-08,57300
2025-01-09,56100
2025-01-10,55300
2025-01-13,54100
2025-01-14,53900
2025-01-15,53700
2025-01-16,54300
2025-01-17,53700
2025-01-20,53400
2025-01-21,53500
2025-01-22,54300
2025-01-23,53700
2025-01-24,53700
2025-01-31,52400
2025-02-03,51000
2025-02-04,52700
2025-02-05,52900
2025-02-06,54000
2025-02-07,53700
2025-02-10,55600
2025-02-11,55700
2025-02-12,55800
2025-02-13,55800
2025-02-14,56000
2025-02-17,56000
2025-02-18,56900
2025-02-19,58700
2025-02-20,58400
2025-02-21,58200
2025-02-24,57300
2025-02-25,57200
2025-02-26,56600
2025-02-27,56300
2025-02-28,54500
2025-03-04,54500
2025-03-05,54000
2025-03-06,54300
2025-03-07,53700
2025-03-10,53700
2025-03-11,53600
2025-03-12,54900
2025-03-13,54700
2025-03-14,54700
2025-03-17,57600
2025-03-18,57600
2025-03-19,58500
2025-03-20,60200
2025-03-21,61700
2025-03-24,60500
2025-03-25,59800
2025-03-26,61400
2025-03-27,61800
2025-03-28,60200
2025-03-31,57800
2025-04-01,58800
2025-04-02,58800
2025-04-03,57600
2025-04-04,56100
2025-04-07,53200
2025-04-08,53500
2025-04-09,53000
2025-04-10,56400
2025-04-11,55200
2025-04-14,56200
2025-04-15,56600
2025-04-16,54700
2025-04-17,55100
2025-04-18,55300
2025-04-21,55400
2025-04-22,55000
2025-04-23,55700
2025-04-24,55700
2025-04-25,55700
2025-04-28,55800
2025-04-29,55800
2025-04-30,55500
2025-05-02,54300
2025-05-07,54600
2025-05-08,54600
2025-05-09,54800
2025-05-12,57600
2025-05-13,56900
2025-05-14,57400
2025-05-15,57300
2025-05-16,56800
2025-05-19,55800
2025-05-20,55900
2025-05-21,55700
2025-05-22,54700
2025-05-23,54200
2025-05-26,54700
2025-05-27,53900
2025-05-28,55900
2025-05-29,56100
2025-05-30,56200
2025-06-02,56800
2025-06-04,57800
2025-06-05,59100
2025-06-09,59800
2025-06-10,59200
2025-06-11,59900
2025-06-12,59500
2025-06-13,58300
2025-06-16,57200
2025-06-17,58100
2025-06-18,59800
2025-06-19,59200
2025-06-20,59500
2025-06-23,58000
2025-06-24,60500
2025-06-25,61300
2025-06-26,60200
2025-06-27,60800
2025-06-30,59800
2025-07-01,60200
2025-07-02,60800
2025-07-03,63800
2025-07-04,63300
2025-07-07,61700
2025-07-08,61400
2025-07-09,60400
2025-07-10,61000
2025-07-11,62600
2025-07-14,62500
2025-07-15,63700
2025-07-16,64700
2025-07-17,66700
2025-07-18,67100
2025-07-21,67800
2025-07-22,66000
2025-07-23,66400
2025-07-24,66000
2025-07-25,65900
2025-07-28,70400
2025-07-29,70600
2025-07-30,72600
2025-07-31,71400
2025-08-01,68900
2025-08-04,69700
2025-08-05,69900
2025-08-06,68800
2025-08-07,70500
2025-08-08,71800
2025-08-11,71000
2025-08-12,71100
2025-08-13,71900
2025-08-14,71600
2025-08-18,70000
2025-08-19,70000
2025-08-20,70500
2025-08-21,70600
2025-08-22,71400
2025-08-25,71500
2025-08-26,70300
2025-08-27,70600
2025-08-28,69600
2025-08-29,69700
2025-09-01,67600
2025-09-02,69100
2025-09-03,69800
2025-09-04,70100
2025-09-05,69500
2025-09-08,70100
2025-09-09,71500
2025-09-10,72600
2025-09-11,73400
2025-09-12,75400
2025-09-15,76500
2025-09-16,79400
2025-09-17,78200
2025-09-18,80300
2025-09-22,83500
2025-09-23,84700
2025-09-24,85400
2025-09-25,86100
2025-09-26,83300
2025-09-29,84200
2025-09-30,83900
2025-10-01,86000
2025-10-02,89750
2025-10-10,94400
2025-10-13,93300
2025-10-14,91600
2025-10-15,95000
2025-10-16,97700
2025-10-17,97900
2025-10-20,98100
2025-10-21,97500
2025-10-22,98600
2025-10-23,96500
2025-10-24,98800
2025-10-27,102000
2025-10-28,99500
2025-10-29,100500
2025-10-30,104100
2025-10-31,107500
2025-11-03,111100
2025-11-04,104900
2025-11-05,100600
2025-11-06,99200
2025-11-07,97900
2025-11-10,100600
2025-11-11,103500
2025-11-12,103100
2025-11-13,102800
2025-11-14,97200
2025-11-17,100600
2025-11-18,97800
2025-11-19,96500
2025-11-20,100600
2025-11-21,94800
2025-11-24,96700
2025-11-25,99300
2025-11-26,102800
2025-11-27,103500
2025-11-28,100500
2025-12-01,100800
2025-12-02,103400
2025-12-03,104500
2025-12-04,105100
2025-12-05,108400
2025-12-08,109500
2025-12-09,108400
2025-12-10,108000
2025-12-11,107300
2025-12-12,108900
2025-12-15,104800
2025-12-16,102800
2025-12-17,107900
2025-12-18,107600
2025-12-19,106300
2025-12-22,110500
2025-12-23,111500
2025-12-24,111100
2025-12-26,117000
2025-12-29,119500
2025-12-30,119900
2026-01-02,128500
2026-01-05,138100
2026-01-06,138900
2026-01-07,141000
2026-01-08,138800
2026-01-09,139000
2026-01-12,138800
2026-01-13,137600
2026-01-14,140300
2026-01-15,143900
2026-01-16,148900
2026-01-19,149300
2026-01-20,145200
2026-01-21,149500
2026-01-22,152300
2026-01-23,152100
2026-01-26,152100
2026-01-27,159500
2026-01-28,162400
2026-01-29,160700
2026-01-30,160500
2026-02-02,150400
2026-02-03,167500
2026-02-04,169100
2026-02-05,159300
2026-02-06,158600
2026-02-09,166400
2026-02-10,165800
2026-02-11,167800
2026-02-12,178600
2026-02-13,181200
2026-02-19,190000
2026-02-20,190100
2026-02-23,193000
2026-02-24,200000
2026-02-25,203500
2026-02-26,218000
2026-02-27,216500
2026-03-03,195100
2026-03-04,172200
2026-03-05,191600
2026-03-06,188200
2026-03-09,173500
2026-03-10,187900
2026-03-11,190000
2026-03-12,187900
2026-03-13,183500
2026-03-16,188700
2026-03-17,193900
2026-03-18,208500
2026-03-19,200500
2026-03-20,199400
2026-03-23,186300
2026-03-24,189700
2026-03-25,189000
2026-03-26,180100
2026-03-27,180100
2026-03-30,176300
2026-03-31,167200
2026-04-01,189650
2026-04-02,178400
2026-04-03,186200
2026-04-06,193100
2026-04-07,196500
2026-04-08,210500
2026-04-09,204000
2026-04-10,206000
2026-04-13,201000
2026-04-14,206500
2026-04-15,211000
2026-04-16,217500
2026-04-17,216000
2026-04-20,214500
2026-04-21,219000
2026-04-22,217500
2026-04-23,224500
2026-04-24,219500
2026-04-27,224500
2026-04-28,222000
2026-04-29,226000
2026-04-30,220500
2026-05-04,232500
2026-05-06,266000
2026-05-07,271500
2026-05-08,268500
2026-05-11,285500
2026-05-12,279000
2026-05-13,284000
2026-05-14,296000
2026-05-15,270500
2026-05-18,281000
2026-05-19,275500
2026-05-20,276000
2026-05-21,299500
2026-05-22,292500
2026-05-26,299000
2026-05-27,307000
2026-05-28,299500
